"MLS Number","Type","Air Conditioning","Apartment YN","List Price","Patio","% Interests In Common Elmts","School Elementary","School High","School Junior","School Middle","Photo Count","Pool Type","Pools Num","Property Type","Prop Type","Rear Yard Vehicle Access YN","Roof Type","Gas Type","Green Building Cert Attached YN","Heating","Lot Size","Navigable YN","Original List Price","Out Building","Approx Living Area","Acres#","Appliance Included","Bounding Streets","Car Storage","Condition","Energy Efficient Features","Exterior","Exterior Features","Fireplace","Foundation","LP/SqFt","Age Desc 1","Cond","Approx Total SqFt","Beds Total","Baths Full","Baths Half","Age","DOM","Car Stor","Sold Price","Sold Date","SP$/SQFT"
"BR2021015710","SGL","Central","","$265,000","Covered","","West BR Paris","West BR Paris","","West BR Paris","15","","","Residential","RES","","Shingle","","","Central","80X135","","$265,000","","1,925","0.25","CookTop, Dishwasher, Microwave","","Two, Garage","","","Brick, Frame, Stucco","","Gas, Yes","Slab","$137.66","","","2,520","3","2","","","14","2,GR","$265,500","12/03/2021","$137.92  "
"BR2021015823","SGL","Central","","$260,000","","","West BR Paris","West BR Paris","","West BR Paris","27","","","Residential","RES","","","","","Central","50 x 125","","$260,000","","2,002","0.14","","","Garage","","","Brick, Stucco, Vinyl Siding","","","Slab","$129.87","","","2,724","3","2","","","2","GR","$260,000","11/04/2021","$129.87  "
"BR2021016271","SGL","Central","","$350,000","Covered, Yes","","West BR Paris","West BR Paris","","West BR Paris","28","","","Residential","RES","","Shingle","","","Central","80X228X158X200","","$350,000","Shed","2,610","0.60","","","Attached, Driveway Only, Garage","","","Brick, Frame, Stucco","Porch, Window Screens","Gas, Yes","Slab","$134.10","","","3,688","4","3","","","15","AT,DR,GR","$355,000","11/23/2021","$136.02  "
"BR2021013902","SGL","Central","","$215,000","","","Livingston Pa","Livingston Pa","","Livingston Pa","1","","","Residential","RES","","Shingle","None","","Central","106.50x139.74","","$213,900","","1,434","0.34","Dishwasher, Oven, Range/Oven","","Two, Garage","","","Brick, Frame, Wood Siding","Porch","","Slab","$149.93","","","2,217","3","2","","","57","2,GR","$220,000","11/24/2021","$153.42  "
"2315718","SGL","Central","","$225,000","","","","","","","34","","","Residential","RES","","Shingle","Natural","No","Central","50x131.55","","$225,000","","1,899","0.00","","HIGHWAY 43","Garage","Excellent","","Brick, Vinyl Siding","","None","Slab","$118.48","RSL","EXCE","2,494","4","2","0","2","2","GR","$215,000","11/15/2021","$113.22  "
"2315481","SGL","One, Central","No","$75,000","None","","call local sc","call local sc","call local sc","call local sc","12","None","","Residential","RES","","Asphalt, Shingle","None","No","One, Central","100x300x113x300","","$75,000","","924","0.69","Dishwasher, Range/Oven","HWY 43","Driveway Only","Vrgd","","Vinyl Siding","Porch","None","Raised","$81.17","RSL","VRGD","1,052","3","2","0","24","4","DR","$75,000","10/22/2021","$81.17  "
"2318574","SGL","Central","","$440,000","","","","","","","37","","","Residential","RES","","Shingle","Natural","No","Central","3.91 Acres","","$440,000","","2,919","3.91","","I-12, HWY 190","Three or More","Avg","","Brick","","Gas","Slab","$150.74","RSL","AVG","3,388","5","2","1","45","56","3PLUS","$425,000","11/22/2021","$145.60  "
"BR2021016290","SGL","Central","","$210,000","Yes","","Livingston Pa","Livingston Pa","","Livingston Pa","1","","","Residential","RES","","Shingle","None","","Central","106.50x139.74","","$210,000","","1,466","0.34","Dishwasher, Microwave, Oven, Range/Oven","","Two","","","Brick, Wood Siding","Porch","Wood, Yes","Slab","$143.25","","","2,077","4","2","","","","2","$210,000","10/20/2021","$143.25  "
"BR2021018202","SGL","Central","","$270,060","","","Livingston Pa","Livingston Pa","","Livingston Pa","6","","","Residential","RES","","Shingle","None","","Central","59.34x139.74x172.97x214.84","","$270,060","","1,918","0.52","Dishwasher, Microwave, Oven, Range/Oven","","Two, Garage","","","Brick, Vinyl Siding, Wood Siding","Porch","Wood, Yes","Slab","$140.80","","","2,874","4","2","","","","2,GR","$270,060","11/30/2021","$140.80  "
"CNC136095","SGL","Central","","$245,000","Covered","","","","","","17","","","Residential","RES","","Asphalt","","","Central","80 x 141.7 x 81.54 x 156.97","","","","1,955","0.27","CookTop, Disposal, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Driveway Only, Garage","","","Brick, Frame","","Gas, Yes","Slab","$125.32","","","2,735","3","2","","","163","2,DR,GR","$246,000","10/18/2016","$125.83  "
"CN144511","SGL","Window Unit","","$90,000","","","","","","","11","","","Residential","RES","","Asbestos, Asphalt","","","Other","100.64x168.42x136.12x178.75","","","Shed, Workshop","2,094","0.55","CookTop, Range/Oven","","Two, Carport, Detached, Driveway Only","","","","","Wood, Yes","Raised, Slab","$42.98","","","2,400","4","2","","","30","2,CP,DE,DR","$50,000","12/12/2017","$23.88  "
"CN144512","SGL","Central","","$115,000","Covered","","","","","","16","","","Residential","RES","","Asphalt","","","Central","116x103x114x103","","","","1,667","0.28","CookTop, Range/Oven","","Two, Carport","","","","Fence, Porch","Wood, Yes","Slab","$68.99","","","2,487","3","2","","","22","2,CP","$100,000","11/17/2017","$59.99  "
"CN152377","SGL","Central","","$168,000","","","","","","","13","","","Residential","RES","","Asphalt","","","Central","85.95 x 78.71 x 85.91 x 80.00","","","","1,664","0.16","","","Two, Garage","","","","","","","$100.96","","","1,664","3","2","","","149","2,GR","$167,500","09/13/2019","$100.66  "
"CN152582","SGL","Central","","$209,000","","","","","","","15","","","Residential","RES","","Asphalt","","","Central","73 x 121","","","Shed","2,089","0.24","CookTop, Dishwasher, Microwave, Refrigerator","","Two, Driveway Only, Garage","","","Brick, Frame","Fence","Yes","Slab","$100.05","","","2,694","3","2","","","242","2,DR,GR","$180,000","02/06/2020","$86.17  "
"CN152256","SGL","Central","","$299,900","Covered","","","","","","24","","","Residential","RES","","Asphalt","","","Central","114x158x127x146x12","","","Workshop","2,450","0.44","CookTop, Disposal, Dishwasher, Microwave, Range/Oven","","Two, Carport, Driveway Only","","","Stucco","Fence, Sprinkler System","Gas, Wood, Yes","Slab","$122.41","","","3,232","3","2","1","","269","2,CP,DR","$276,000","03/23/2020","$112.65  "
"CN152257","SGL","Central","","$299,000","Covered","","","","","","20","","","Residential","RES","","Shingle","","","Central","104x169x102x167","","","","2,463","0.41","","","Two, Attached, Carport","","","","Fence","Yes","","$121.40","","","3,292","4","2","1","","618","2,AT,CP","$286,500","02/12/2021","$116.32  "
