"MLS Number","Type","Air Conditioning","Apartment YN","List Price","Patio","% Interests In Common Elmts","School Elementary","School High","School Junior","School Middle","Photo Count","Pool Type","Pools Num","Property Type","Prop Type","Rear Yard Vehicle Access YN","Roof Type","Gas Type","Green Building Cert Attached YN","Heating","Lot Size","Navigable YN","Original List Price","Out Building","Approx Living Area","Acres#","Appliance Included","Bounding Streets","Car Storage","Condition","Energy Efficient Features","Exterior","Exterior Features","Fireplace","Foundation","LP/SqFt","Age Desc 1","Cond","Approx Total SqFt","Beds Total","Baths Full","Baths Half","Age","DOM","Car Stor","Sold Price","Sold Date","SP$/SQFT"
"CN158123","SGL","Central","","$139,500","Covered","","Natch","NCHS","","Natch","20","","","Residential","RES","","Shingle","","","Central, Gas","77x164x90x545x82x750","","$139,500","","1,131","2.45","CookTop, Dishwasher, Range/Oven","","One, Carport","","","Frame","","","Slab","$123.34","","","1,698","3","2","","","7","1,CP","$141,000","10/02/2020","$124.67  "
"CN158168","SGL","Central","","$159,900","Covered, Yes","","","","","","13","","","Residential","RES","","Asphalt","","","Central","53.92 x 194","","","Shed","1,475","0.24","CookTop, Disposal, Dishwasher, Microwave, Range/Oven","","Two, Carport","","","Aluminum Siding, Frame","Fence, Porch","Yes","Raised, Slab","$108.41","","","2,216","3","2","","","7","2,CP","$163,000","10/08/2020","$110.51  "
"CN158175","SGL","Central","","$199,999","","","","","","","4","","","Residential","RES","","Asphalt","","","Central","100 x 141","","","Workshop","2,234","0.33","CookTop, Disposal, Dishwasher, Microwave, Refrigerator, Range/Oven","","Three or More, Garage","","","Frame, Vinyl Siding","Fence, Porch","Wood, Yes","Slab","$89.53","","","3,350","3","2","","","12","3PLUS,GR","$195,000","09/30/2020","$87.29  "
"CN158184","SGL","Central","","$199,900","","","","","","","20","","","Residential","RES","","Asphalt","","","Central","100 x 150","","","Shed","2,326","0.34","Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Attached, Carport, Driveway Only","","Insulation, Windows","Frame","Fence, Porch, Sprinkler System","Gas, Yes","Slab","$85.94","","","2,936","4","3","","","101","2,AT,CP,DR","$207,091","01/25/2021","$89.03  "
"CN158254","TNH","Central","","$275,000","","","","","","","25","","","Residential","RES","","Shingle","","","Central","1.71 Acres","","","Shed","2,300","1.78","Dishwasher, Microwave, Refrigerator","","","","","Vinyl Siding","Fence","","Slab","$119.57","","","2,600","4","3","","","208","","$260,000","04/28/2021","$113.04  "
"CN158284","SGL","Central, Window Unit","","$79,900","Covered","","","","","","13","","","Residential","RES","","Asphalt","","","Central","191 X 244 X 112 X 114","","","","1,450","0.37","CookTop, Dishwasher, Range/Oven","","Driveway Only","","","","Fence","","Slab","$55.10","","","1,550","3","2","0","","39","DR","$67,000","11/19/2020","$46.21  "
"CN158296","SGL","Central","","$199,999","","","","","","","31","","","Residential","RES","","Metal","","","Central","15x95x176x158x111","","","","1,838","0.42","","","Two, Detached, Garage","","","Frame, Vinyl Siding","Porch","","Slab","$108.81","","","2,550","2","3","","","11","2,DE,GR","$207,000","10/15/2020","$112.62  "
"CN158311","SGL","Central","","$210,750","","","","","","","3","","","Residential","RES","","Shingle","","","Central","36.9x237.54x99.10x218.19","","","","1,555","0.51","","","Two, Garage","","","Brick, Frame","Sprinkler System","Yes","","$135.53","","","2,197","3","2","","","109","2,GR","$210,750","02/09/2021","$135.53  "
"CN158299","SGL","Central","","$189,400","","","","","","","14","","","Residential","RES","","Shingle","","","Central","81 x 147 x 81 x 144","","","","1,700","0.27","Dishwasher, Refrigerator","","Attached, Carport, Driveway Only","","","","Fence","","","$111.41","","","2,090","3","2","","","50","AT,CP,DR","$190,300","12/10/2020","$111.94  "
"CN158353","SGL","Central","","$207,950","","","","","","","6","","","Residential","RES","","Shingle","","","Central","48.37 x 175.44 x 199.82 x237.5","","","","1,535","0.40","","","Attached, Garage","","","Brick, Frame","Sprinkler System","","","$135.47","","","2,256","3","2","","","123","AT,GR","$207,950","03/03/2021","$135.47  "
"CN158414","SGL","Central","","$116,000","","","","","","","2","","","Residential","RES","","Asphalt","","","Central",".385","","","","1,315","0.39","","","One, Carport, Garage","","","Brick, Frame","","","Slab","$88.21","","","1,315","3","1","1","","0","1,CP,GR","$116,000","09/18/2020","$88.21  "
"CN158404","SGL","Central","","$475,000","","","","","","","27","","","Residential","RES","","Metal","","","Central","See attached","","","","2,983","60.00","","","Two, Attached, Carport, Garage","","","Other","","Yes","Slab","$159.24","","","4,032","4","2","1","","111","2,AT,CP,GR","$710,000","03/16/2021","$238.02  "
"CN158403","SGL","Central","","$149,900","","","","","","","16","","","Residential","RES","","Asbestos","","","Central","100.85x187x100.96x192.1","","","","1,904","0.44","CookTop, Dishwasher, Range/Oven","","","","","Vinyl Siding","","Yes","Raised","$78.73","NEW","","1,904","4","2","","","24","","$127,000","02/11/2021","$66.70  "
"CN158444","SGL","Central","","$79,000","","","","","","","3","","","Residential","RES","","Asphalt","","","Central","124 x 348","","","","1,456","1.00","","","Two, Carport, Detached","","","Vinyl Siding","","Wood, Yes","","$54.26","","","1,456","3","2","","","267","2,CP,DE","$65,000","06/23/2021","$44.64  "
"CN158431","SGL","Central","","$145,000","","","","","","","21","","","Residential","RES","","Asphalt","","","Central",".385","","","","1,315","0.39","","","One, Carport, Garage","","","Brick, Frame","","","Slab","$110.27","","","1,315","3","1","1","","37","1,CP,GR","$141,000","12/02/2020","$107.22  "
"CN158455","SGL","Central","","$249,900","Covered","","","","","","18","","","Residential","RES","","Shingle","","","Central, Gas","90 x 150","","","","2,789","0.33","Refrigerator","","Two, Garage","","","Brick, Frame, Vinyl Siding","Fence","","Slab","$89.60","","","3,489","4","3","","","78","2,GR","$235,000","03/05/2021","$84.26  "
"CN158515","SGL","Central","","$264,900","","","","","","","18","","","Residential","RES","","Shingle","","","Central","160.27x184.60x345.24x225.94","","","","1,800","0.80","","","Two, Garage","","","Brick, Frame","","Yes","","$147.17","","","2,587","3","2","","","217","2,GR","$264,900","06/02/2021","$147.17  "
"CN158534","SGL","Central","","$115,000","","","","","","","19","","","Residential","RES","","Asphalt","","","Central","160x276x113x250","","","","1,224","0.96","CookTop, Refrigerator, Range/Oven","","Two, Carport","","","Frame","Porch","","Raised","$93.95","","","1,224","3","2","0","","11","2,CP","$110,000","12/01/2020","$89.87  "
"CN158574","SGL","Central","","$190,000","","","","","","","8","","","Residential","RES","","Asphalt","","","Central","103x220x103x220","","","","1,460","0.53","","","Two, Attached, Garage","","","","","","","$130.14","","","2,090","3","2","","","3","2,AT,GR","$190,000","10/09/2020","$130.14  "
"CN158588","SGL","Central","","$77,000","","","","","","","6","","","Residential","RES","","Asbestos","","","Central","75x65","","","","1,250","0.65","","","Attached, Carport","","","Brick, Frame","","","","$61.60","","","1,350","3","1","1","","153","AT,CP","$80,000","05/14/2021","$64.00  "
"CN158610","SGL","Central","","$192,750","","","","","","","3","","","Residential","RES","","Shingle","","","Central","41 x 213 x 90 x 138 x 204","","","","1,423","0.61","","","Two, Garage","","","","","","","$135.45","","","1,962","3","2","","","64","2,GR","$193,000","04/21/2021","$135.63  "
"CN158620","SGL","Central","","$222,000","Covered","","","","","","23","","","Residential","RES","","Shingle","","","Central","103x220","","","","1,661","0.52","CookTop, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Driveway Only, Garage","","","Frame","","","","$133.65","","","2,256","3","2","","","30","2,DR,GR","$220,000","12/22/2020","$132.45  "
"CN158614","SGL","Central","","$79,000","","","","","","","14","","","Residential","RES","","Asphalt","","","Central","58' X 176'","","","","1,353","0.23","","","Attached, Carport","","","","","","","$58.39","","","1,353","3","1","1","","225","AT,CP","$81,000","08/19/2021","$59.87  "
"CN158697","SGL","Central","","$109,000","","","","","","","3","","","Residential","RES","","Metal","","","Central","81.3 x 122.9","","","","1,146","0.23","","","One, Attached, Carport","","","Frame","Fence","","","$95.11","","","1,767","3","1","","","0","1,AT,CP","$108,000","11/09/2020","$94.24  "
"CN158696","SGL","Central","","$179,000","","","","","","","3","","","Residential","RES","","Shingle","","","Central","80x90","","","","1,563","0.16","","","Two, Garage","","Insulation, Windows","Vinyl Siding","Fence","Gas, Yes","","$114.52","","","2,056","3","2","","","0","2,GR","$171,000","11/10/2020","$109.40  "
"CN158692","SGL","Central","","$138,500","Yes","","","","","","14","","","Residential","RES","","Shingle","","","Central","48x44x43x48","","","","1,070","0.05","","","One, Detached, Garage","","","Brick, Frame","","Gas, Yes","Slab","$129.44","","","1,250","2","2","","","6","1,DE,GR","$138,500","11/23/2020","$129.44  "
"CN158699","SGL","Central","","$192,500","","","","","","","11","","","Residential","RES","","Asphalt","","","Central","100x200","","","","1,744","0.75","","","","","","","Sprinkler System","Yes","","$110.38","","","2,100","3","2","","","7","","$192,000","12/08/2020","$110.09  "
"CN158736","SGL","Central","","$169,000","Yes","","","","","","25","","","Residential","RES","","Asphalt","","","Central, Gas","104x438x104x437","","","Workshop","1,882","1.05","CookTop, Dishwasher, Microwave, Refrigerator, Range/Oven","","","","Insulation, Windows","Frame","","Wood, Yes","Slab","$89.80","","","1,882","3","2","0","","91","","$163,000","03/26/2021","$86.61  "
"CN158655","SGL","None","","$29,900","","","","","","","7","","","Residential","RES","","Asphalt","","","Other","50 x 102","","","","1,122","0.09","","","One, Carport","","","Frame","","","Raised","$26.65","","","1,205","3","1","","","0","1,CP","$29,900","10/30/2020","$26.65  "
"CN159888","SGL","Central","","$208,500","","","","","","","4","","","Residential","RES","","Shingle","","","Central","100x223x101x230","","","","1,600","0.80","","","Attached, Garage","","","Frame","","Yes","","$130.31","","","2,328","3","2","","","6","AT,GR","$208,500","12/30/2020","$130.31  "
"CN158831","SGL","Central","","$197,000","","","","","","","14","","","Residential","RES","","Asphalt","","","Central","192 x 240","","","","1,809","1.16","Dishwasher","","Driveway Only","","","Brick, Frame","Fence","","Slab","$108.90","","","2,131","4","2","","","37","DR","$188,000","04/21/2021","$103.92  "
"CN158804","SGL","Central","","$158,900","","","","","","","10","","","Residential","RES","","Shingle","","","Central","47X47X135X135","","","","1,350","0.15","Refrigerator","","One, Attached, Driveway Only, Garage","","Insulation, Windows","Vinyl Siding","Porch","Gas, Yes","","$117.70","","","1,520","3","2","","","20","1,AT,DR,GR","$156,000","12/23/2020","$115.56  "
"CN158844","SGL","Central, Ductless Wall Unit","","$430,000","","","","","","","25","","","Residential","RES","","Shingle","","","Central, Ductless Wall Unit","122 x 335 x 100 x 350","","","","2,535","0.87","","","Two, Attached, Garage","","","Brick, Frame, Stucco","","Gas, Yes","","$169.63","","","3,560","4","3","","","71","2,AT,GR","$415,000","03/12/2021","$163.71  "
"CN159859","SGL","Central","","$99,000","","","","","","","15","","","Residential","RES","","Asphalt","","","Central","300x428x293","","","","964","1.01","CookTop, Refrigerator, Range/Oven","","One, Attached, Carport","","","Frame","Porch","","Slab","$102.70","","","1,275","3","1","0","","201","1,AT,CP","$94,500","07/08/2021","$98.03  "
"CN159862","SGL","Central","","$360,000","","","","","","","42","Inground","1","Residential","RES","","Shingle","","","Central, Gas","150x243x55x91x179","","$399,900","","4,322","0.68","CookTop, Dishwasher, Range/Oven","","Two, Attached, Driveway Only, Garage","","","Frame","Fence, Porch","Yes","Slab","$83.29","","","4,700","4","3","0","","345","2,AT,DR,GR","$360,000","10/14/2021","$83.29  "
"CN159890","SGL","Central","","$49,900","","","","","","","11","","","Residential","RES","","Asphalt","","","Central","100x169 100x179","","","Shed","2,052","0.40","CookTop, Dishwasher, Range/Oven","","","","","Aluminum Siding","Porch","Yes","","$24.32","","","2,052","4","2","","","18","","$60,000","12/23/2020","$29.24  "
"CN159893","SGL","Central","","$329,999","","","","","","","33","","","Residential","RES","","Shingle","","","Central","96.74x209.4x96.74x200","","","","1,751","0.54","Dishwasher, Refrigerator, Range/Oven","","Two, Carport","","","Frame","Bayou, Fence, Porch","","Raised","$188.46","","","2,150","3","2","","","72","2,CP","$296,500","01/27/2021","$169.33  "
"CN159901","SGL","Central, Heat Pump","","$420,000","Covered","","","","","","34","","","Residential","RES","","Shingle","","","Central, Gas","30x50x55x254x145x116x175x49x","","$420,000","Workshop","3,956","1.70","CookTop, Double Oven, Dishwasher, Microwave, Refrigerator","","One, Two, Attached, Carport, Detached, Driveway Only, Garage","","","Frame, Vinyl Siding","Porch, Sprinkler System","Wood, Yes","Slab","$106.17","","","5,416","4","5","1","","155","1,2,AT,CP,DE,DR,GR","$390,000","10/22/2021","$98.58  "
"CN159946","SGL","Central","","$269,900","Yes","","","","","","31","","","Residential","RES","","Shingle","","","Central, Gas","141x308x141x301","","","","2,025","1.00","CookTop, Range/Oven","","Two, Attached, Garage","","","Frame","Sprinkler System","Gas, Yes","Slab","$133.28","","","2,025","3","2","1","","7","2,AT,GR","$269,000","01/08/2021","$132.84  "
"CN159950","SGL","Central","","$360,000","","","","","","","8","","","Residential","RES","","Shingle","","","Central","180 x 350","","","","2,606","1.44","","","Two, Attached, Garage","","","Frame","","Yes","","$138.14","","","3,358","4","2","1","","21","2,AT,GR","$366,000","03/19/2021","$140.45  "
"CN160019","SGL","Central","","$159,900","","","","","","","13","","","Residential","RES","","Shingle","","","Central","70x120","","","Shed","1,196","0.20","CookTop, Dishwasher, Refrigerator, Range/Oven","","Driveway Only","","Insulation, Windows","Frame","Fence","","Slab","$133.70","","","1,254","3","1","1","","22","DR","$158,900","01/13/2021","$132.86  "
"CN160030","SGL","Central","","$167,000","","","","","","","28","","","Residential","RES","","Shingle","","","Central","198x190x40x328x180x345x43x165","","","","2,117","2.19","CookTop, Dishwasher, Range/Oven","","","","","Frame","","Wood, Yes","Slab","$78.89","","","2,117","4","2","","","51","","$165,000","02/26/2021","$77.94  "
"CN160073","SGL","Central","","$275,000","Covered","","","","","","38","","","Residential","RES","","Asphalt","","","Central, Gas","282x177x336x259","","","Workshop","2,916","1.52","CookTop, Dishwasher, Microwave, Range/Oven","","Driveway Only","","","Frame","Porch, Sprinkler System","Wood, Yes","Slab","$94.31","","","3,777","3","2","0","","120","DR","$265,000","05/07/2021","$90.88  "
"CN160041","SGL","Central","","$216,500","","","","","","","6","","","Residential","RES","","Shingle","","","Central","103 x 210 x 103 x 210","","","","1,600","0.52","","","Two, Garage","","","","","","","$135.31","","","2,328","3","2","","","29","2,GR","$218,000","06/16/2021","$136.25  "
"CN160101","SGL","Central","","$176,500","Covered","","","","","","18","","","Residential","RES","","Shingle","","","Central","80x138","","","Workshop","1,714","0.25","CookTop, Disposal, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Attached, Carport, Driveway Only","","Insulation","","Fence","Gas, Wood, Yes","Slab","$102.98","","","2,223","3","2","0","","6","2,AT,CP,DR","$176,500","02/04/2021","$102.98  "
"CN159998","TNH","Central","","$139,000","","","","","","","9","","","Residential","RES","","Asphalt","","","Central","24 X 83","","","","1,400","0.04","","","","","","Frame, Stucco","","Yes","","$99.29","","","1,450","3","1","1","","3","","$133,000","05/24/2021","$95.00  "
"CN160077","SGL","Central","","$124,500","","","Natchitoch","Natchitoch","","Natchitoch","11","","","Residential","RES","","Asphalt","","","Central, Gas","106 x 107","","","Shed","1,086","0.26","CookTop, Dishwasher, Refrigerator, Range/Oven","","Attached, Carport","","","Brick, Frame","","","","$114.64","","","1,366","2","2","","","99","AT,CP","$117,000","04/27/2021","$107.73  "
"CN160119","SGL","Central","","$200,000","","","","","","","4","","","Residential","RES","","Shingle","","","Central","103 x 220 x 103 x 220","","$200,000","","1,423","0.52","","","Two, Garage","","","","","","","$140.55","","","1,962","3","2","","","0","2,GR","$200,000","06/15/2021","$140.55  "
"CN160175","SGL","Central","","$456,500","","","","","","","2","","","Residential","RES","","Asphalt","","","Central","125x328x126x309","","","","2,283","1.00","Dishwasher, Microwave","","Two, Attached, Garage","","","","","Yes","","$199.96","","","3,485","4","3","","","0","2,AT,GR","$456,500","12/11/2020","$199.96  "
"CN160202","SGL","Central","","$112,000","","","","","","","31","","","Residential","RES","","Shingle","","","Central","100x100x150x150","","","Shed","1,765","0.22","Dishwasher, Range/Oven","","","","","Frame, Vinyl Siding","Porch","","","$63.46","","","1,870","3","2","","","126","","$110,000","05/28/2021","$62.32  "
"CN160193","SGL","Window Unit","","$105,000","","","","","","","14","","","Residential","RES","","Asphalt","","","Other","See Legal","","$129,999","","2,783","0.36","","","Attached, Garage","","","Frame","","","Raised","$37.73","","","3,100","4","2","1","","297","AT,GR","$100,000","11/06/2021","$35.93  "
"CN160195","SGL","Central","","$289,000","Covered, Yes","","","","","","37","","","Residential","RES","","Asphalt","","","Central, Gas","100x256x101x274","","","Workshop","2,302","0.61","CookTop, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Attached, Carport, Driveway Only","","","Frame","Bayou, Fence","Wood, Yes","Slab","$125.54","","","3,160","3","2","1","","70","2,AT,CP,DR","$278,500","05/03/2021","$120.98  "
"CN160215","SGL","Central","","$211,810","","","","","","","2","","","Residential","RES","","Shingle","","","Central","103 X 220","","","","1,600","0.52","","","Two, Attached, Garage","","","Frame","","","","$132.38","","","2,328","3","2","","","0","2,AT,GR","$211,810","12/17/2020","$132.38  "
"CN160210","SGL","Central","","$115,000","","","","","","","12","","","Residential","RES","","Asphalt","","","Central, Gas","75 x 178","","","","1,237","0.30","","","One, Attached, Carport","","","Brick, Frame","","Wood, Yes","Slab","$92.97","","","1,381","3","1","1","","4","1,AT,CP","$113,000","05/28/2021","$91.35  "
"CN160232","SGL","Central","","$135,000","","","","","","","15","","","Residential","RES","","Shingle","","","Central","IRREGULAR","","","Shed","1,250","1.48","","","Attached, Carport","","","","","Wood, Yes","","$108.00","","","1,500","3","1","1","","81","AT,CP","$134,000","04/23/2021","$107.20  "
"CN160264","SGL","Central","","$249,999","","","","","","","27","Inground","1","Residential","RES","","Asphalt","","","Central","100x162x117x163","","","","1,934","0.40","Dishwasher, Microwave, Refrigerator","","Two, Carport","","","Frame","Fence","Yes","Slab","$129.27","","","2,456","4","2","","","29","2,CP","$249,999","03/18/2021","$129.27  "
"CN160267","SGL","Central","","$209,999","","","","","","","25","","","Residential","RES","","Asphalt","","","Central","See Plat","","$209,999","","1,706","0.53","Dishwasher, Refrigerator, Range/Oven","","Two, Carport","","","Frame","Bayou, Fence","Yes","Slab","$123.09","","","1,948","3","2","","","322","2,CP","$203,000","11/09/2021","$118.99  "
"CN160291","SGL","Central","","$105,000","Covered","","","","","","20","","","Residential","RES","","Asphalt","","","Central","113x23x95x169x191","","","Shed","1,845","0.49","CookTop, Dishwasher, Range/Oven","","Two, Carport, Detached, Driveway Only","","","Vinyl Siding","Porch","Gas, Yes","Raised","$56.91","","","1,845","3","2","0","","7","2,CP,DE,DR","$105,000","03/30/2021","$56.91  "
"CN160293","SGL","Central","","$249,000","","","","","","","18","","","Residential","RES","","Shingle","","","Central","81x69x152x341x179x241","","","","2,394","1.41","","","Two, Attached, Garage","","","Frame, Vinyl Siding","","Yes","","$104.01","","","3,151","4","3","1","","12","2,AT,GR","$218,000","02/10/2021","$91.06  "
"CN160305","SGL","Central","","$314,900","","","","","","","34","","","Residential","RES","","Shingle","","","Central","165 x 304x112x305","","","","2,204","1.00","CookTop, Double Oven, Disposal, Dishwasher, Microwave","","Two, Attached, Driveway Only, Garage","","","Brick, Frame, Stucco","Porch","Gas, Yes","","$142.88","","","2,204","4","3","","","82","2,AT,DR,GR","$301,000","05/07/2021","$136.57  "
"CN160285","SGL","Central","","$224,500","","","","","","","33","","","Residential","RES","","Asbestos, Shingle","","","Central","120x121x91x93","","","Shed","1,847","0.17","Range/Oven","","One, Attached, Carport","","","Frame","Fence","Gas, Yes","Raised","$121.55","","","2,157","3","2","","","7","1,AT,CP","$200,000","02/22/2021","$108.28  "
"CN160316","SGL","Central","","$248,500","","","","","","","26","","","Residential","RES","","Shingle","","","Central","112x100x122x46x61","","","","2,316","0.28","CookTop, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Attached, Carport, Driveway Only","","","Frame","","Gas, Yes","","$107.30","","","2,583","4","2","","","63","2,AT,CP,DR","$238,500","05/11/2021","$102.98  "
"CN160372","SGL","Central","","$269,999","","","","","","","23","","","Residential","RES","","Shingle","","","Central","62 X 120","","","","1,574","0.17","","","Attached, Carport","","","Frame","Fence","","","$171.54","","","1,820","3","3","","","1","AT,CP","$255,000","02/12/2021","$162.01  "
"CN160378","SGL","Central","","$223,500","Covered","","","","","","8","","","Residential","RES","","Shingle","","","Central","See attachements","","","","1,661","0.52","CookTop, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Driveway Only, Garage","","","Frame","","","Slab","$134.56","","","2,256","3","2","","","15","2,DR,GR","$223,500","05/21/2021","$134.56  "
"CN160436","SGL","Central","","$134,500","","","","","","","13","","","Residential","RES","","Asphalt","","","Central, Gas","110X110X396X394","","","","1,366","1.70","CookTop, Range/Oven","","Attached, Carport","","","Vinyl Siding","Porch","Yes","Raised","$98.46","","","1,925","3","2","","","92","AT,CP","$140,000","08/10/2021","$102.49  "
"CN160500","SGL","Central","","$319,900","","","","","","","25","","","Residential","RES","","Shingle","","","Central","75x54x249x178x188","","","","2,773","0.95","CookTop, Disposal, Dishwasher, Microwave, Range/Oven","","Two, Attached, Detached, Driveway Only, Garage","","","Frame","","Yes","Slab","$115.36","","","3,689","3","2","1","","109","2,AT,DE,DR,GR","$305,000","06/16/2021","$109.99  "
"CN160515","SGL","Central","","$150,000","Covered","","","","","","17","","","Residential","RES","","Asphalt","","","Central, Gas","85 X 138 X 82 X 132","","","","1,689","0.27","CookTop, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Attached, Carport, Driveway Only","","","","Fence, Porch","Wood, Yes","Raised","$88.81","","","3,181","3","2","0","","19","2,AT,CP,DR","$148,500","03/18/2021","$87.92  "
"CN160514","SGL","Central","","$135,000","","","","","","","5","","","Residential","RES","","Asbestos","","","Central","125 x 80","","","","1,450","0.41","","","Attached, Carport","","","","","","","$93.10","","","1,650","3","1","1","","65","AT,CP","$110,000","07/21/2021","$75.86  "
"CN160524","SGL","Central","","$148,000","Covered, Yes","","","","","","19","","","Residential","RES","","Asphalt","","","Central, Gas","127x205x17x207","","","Shed","1,187","0.60","CookTop, Dishwasher, Refrigerator, Range/Oven","","Attached, Carport, Driveway Only","","","Frame, Vinyl Siding","Fence, Porch, Sprinkler System","","","$124.68","","","1,664","3","2","","","35","AT,CP,DR","$148,000","04/15/2021","$124.68  "
"CN160572","SGL","Central","","$429,000","Yes","","","","","","26","","","Residential","RES","","Metal","","","Central","125x177x125x188","","","","3,010","0.50","Double Oven, Ice Maker, Range/Oven, Wine Cooler","","One, Two, Attached, Carport, Garage","","Insulation, Windows","Frame, Stucco","Porch, Sprinkler System","Gas, Wood, Yes","","$142.52","","","5,015","4","3","1","","82","1,2,AT,CP,GR","$422,500","05/21/2021","$140.37  "
"CN160558","SGL","Central","","$234,500","Covered","","","","","","27","","","Residential","RES","","Shingle","","","Central","51x105x100x367x255x350","","","","2,348","2.02","","","One, Two, Carport, Garage","","","Frame","","Wood, Yes","","$99.87","","","2,560","4","3","","","16","1,2,CP,GR","$230,000","03/18/2021","$97.96  "
"CN160596","SGL","Central","","$179,000","","","","","","","13","","","Residential","RES","","Shingle","","","Central","70 x 165","","","","1,458","1.04","","","","","","Vinyl Siding","","","","$122.77","","","1,619","2","2","","","1","","$165,000","03/19/2021","$113.17  "
"CN160638","SGL","Central","","$382,000","","","","","","","7","","","Residential","RES","","Asphalt","","","Central","130x240x39x309","","","","2,600","0.60","","","Two, Garage","","","","","Yes","","$146.92","","","3,837","4","3","","","2","2,GR","$382,000","02/03/2021","$146.92  "
"CN160534","SGL","Central","","$199,000","","","","","","","25","","","Residential","RES","","Asbestos","","","Central","200x634x350x290x100x300","","","","1,813","4.10","","","Two, Attached, Carport","","","Frame","","","","$109.76","","","2,714","3","2","","","11","2,AT,CP","$182,000","04/06/2021","$100.39  "
"CN160645","SGL","Central","","$383,000","","","","","","","26","","","Residential","RES","","Shingle","","","Central, Gas","79 x 298 x 71.8x125 x 253.2","","","Shed","3,015","0.86","CookTop, Disposal, Dishwasher, Range/Oven, Trash Masher","","Two, Attached, Garage","","Insulation, Windows","Vinyl Siding","Porch","Wood, Yes","Slab","$127.03","","","3,663","4","3","","","85","2,AT,GR","$373,000","07/07/2021","$123.71  "
"CN160644","SGL","Central","","$264,000","","","","","","","34","","","Residential","RES","","Asphalt","","","Central, Gas","184.2X85X226.50X116.42","","","","2,579","1.00","","","","","","Frame","","Wood, Yes","","$102.37","","","3,239","4","2","","","75","","$255,000","05/19/2021","$98.88  "
"CN160698","SGL","Central","","$325,000","","","","","","","27","","","Residential","RES","","Shingle","","","Central","95x415x290x69x64x593x82","","","Shed","2,216","2.83","CookTop, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Attached, Driveway Only, Garage","","Insulation, Windows","Frame, Vinyl Siding","Fence, Porch","Wood, Yes","","$146.66","","","3,420","3","2","","","59","2,AT,DR,GR","$317,000","05/28/2021","$143.05  "
"CN160733","SGL","Central","","$275,000","","","Natch","NCHS","","Natch","21","","","Residential","RES","","Shingle","","","Central","85x152.16","","","","1,861","0.30","","","Two, Garage","","","Frame, Vinyl Siding","","Yes","Slab","$147.77","","","2,355","3","2","","","58","2,GR","$275,000","07/13/2021","$147.77  "
"CN160811","SGL","Central","","$135,000","","","","","","","9","","","Residential","RES","","Asphalt","","","Central","125x200x125x200","","","","1,150","0.58","","","Attached, Carport","","","Vinyl Siding","","","","$117.39","","","1,400","3","1","","","1","AT,CP","$135,000","04/06/2021","$117.39  "
"CN160809","SGL","Central","","$180,000","","","","","","","4","","","Residential","RES","","Asphalt","","","Central","61x125x61x125","","","","2,100","0.18","","","Two, Attached, Garage","","","","","","","$85.71","","","2,700","4","3","","","1","2,AT,GR","$180,000","03/03/2021","$85.71  "
"CN160376","SGL","Central","","$138,000","","","Lakeview","Lakeview","","Goldonna","6","","","Residential","RES","","Asbestos","","","Central","125 x 650","","","","1,400","1.05","","","Attached, Carport","","","","","","","$98.57","","","1,650","3","2","","","11","AT,CP","$140,000","05/10/2021","$100.00  "
"CN160829","SGL","Central","","$389,999","","","","","","","32","","","Residential","RES","","Shingle","","","Central","See Plat","","","","3,386","0.47","Dishwasher, Microwave","","Two, Garage","","","","Fence","Wood, Yes","Slab","$115.18","","","3,620","5","3","","","156","2,GR","$372,000","09/08/2021","$109.86  "
"CN160866","SGL","Central","","$355,000","Covered","","","","","","2","Inground","1","Residential","RES","","Shingle","","","Central, Gas","203X21X150X158X45X33","","","Workshop","2,817","0.50","CookTop, Range/Oven","","","","","","Fence","Wood, Yes","","$126.02","","","3,110","4","2","","","0","","$340,000","03/05/2021","$120.70  "
"CN160860","SGL","Central","","$189,900","Yes","","","","","","2","","","Residential","RES","","Asphalt","","","Central, Gas","56x123x57x121","","","","1,800","0.16","CookTop, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Carport, Driveway Only","","","Frame","Sprinkler System","","","$105.50","","","2,000","3","2","0","","0","2,CP,DR","$182,000","03/26/2021","$101.11  "
"CN160872","SGL","Central","","$289,999","","","","","","","40","","","Residential","RES","","Asphalt","","","Central, Gas","146-176-149-177","","","","3,489","0.60","CookTop, Dishwasher, Range/Oven","","Driveway Only","","","Brick, Cinder Block, Concrete, Frame","","Yes","","$83.12","","","3,489","4","3","1","","97","DR","$266,000","07/28/2021","$76.24  "
