"ML#","% Interests In Common Elmts","Sewer Type","Sold Price","Spa Location","Special Assessments YN","Stories","Stories In Building","Style","Subdivision","Tennis Courts YN","Termite Contract YN","Transaction Type","Water Type","Waterfront","Year Built"
"CN152257","","City","$286,500","","","1.0","","","Charles Park EXT","","","","Public","","1995"
"CN152293","","City","$27,000","","","1.0","","","Riverside","","","","Public","",""
"CN152362","","City","$257,500","","","1.0","","","west pointe","","","","Public","","2001"
"CN152361","","City","$126,500","","","1.0","","","H.N. Goff Addn","","","","Public","","1950"
"CN152341","","City","$103,450","","","1.0","","","Parliament Square","","","","Public","","1982"
"CN152300","","City","$250,000","","","1.5","","","CLERMONT ESTATES","","","","Public","","1991"
"CN152371","","City","$128,500","","","1.0","","","Castle Village","","","","Public","","1964"
"CN152375","","City","$138,000","","","1.0","","","Briarwood","","","","Public","","1969"
"CN152382","","City","$218,000","","","1.0","","","Clarence Park","","","","Public","",""
"CN152340","","City","$422,409","","","1.0","","","Left Bank","","","","Public","","2008"
"CN152335","","City","$285,000","","","1.0","","","Cypress Point","","","","Public","","2013"
"CN152405","","City","$132,000","","","1.0","","","HILL ADDN","","","","Public","",""
"CN152315","","City","$685,000","","","1.5","","","Landmark","","","","Public","","1999"
"CN152579","","","$130,000","","","1.0","","","Grundy Cooper","","","","Public","","1964"
"CN152577","","City","$241,000","","","1.0","","","Bocage","","","","Public","","2007"
"CN152602","","City","$205,500","","","1.0","","","Shenandoah","","","","Public","","1997"
"CN152605","","City","$254,000","","","1.0","","","Wilshire Park","","","","Public","",""
"CN152598","","City","$205,000","","","1.0","","","Petrus Heights","","","","Public","Water Front","1947"
"CN156522","","City","$82,900","","","1.0","","","J B Nichols","","","","Public","",""
"CN157989","","City","$23,000","","","1.0","","","Walnut Grove","","","","Public","","1958"
"CN157976","","City","$120,000","","","1.0","","","Denux","","","","Public","","1947"
"CN158000","","City","$190,000","","","1.0","","","Kilpatrick","","","","Public","","1918"
"CN157979","","","$109,400","","","1.0","","","Brookhaven","","","","Public","",""
"CN158003","","City","$355,000","","","1.0","","","Pecan Bayou","","","","Public","","2017"
"CN157999","","City","$174,000","","","1.0","","","Northpark Village","","","","Public","","2014"
