"mls_number"	"property_type"	"air_conditioning"	"appartment_bi"	"patio_bi"	"school_high"	"school_junior"	"school_middle"	"school_general"	"photo_count"	"pool_bi"	"rear_yard_access_bi"	"roof_type"	"roof_type_shingle_bi"	"gas_type"	"out_building_livable_bi"	"out_building_not_livable_bi"	"living_area"	"land_acres"	"appliances_included_bi"	"garage_bi"	"condition"	"energy_efficient_bi"	"exterior_type"	"exterior_features"	"fire_place_bi"	"foundation_type"	"total_area"	"beds_total"	"bath_full"	"bath_half"	"age"	"days_on_market"	"sold_price"	"sold_date"	"sewer_type"	"spa_location"	"stories"	"property_style"	"city_limit_bi"	"subdivision_bi"	"tennis_court_bi"	"termite_contract"	"water_type"	"waterfront_bi"	"post_corona_bi"	"corona_crisis"
"CNC136395"	"SGL"	"central"	0	1	0	0	0	0	6	0	0	"other"	0	"Natural"	0	0	1434	1	1	0	"Other"	0	"other"	"none"	0	"slab"	1866	3	2	0	32	167	177000	42762	"other"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136392"	"SGL"	"central"	0	1	0	0	0	0	17	0	0	"other"	0	"Natural"	0	0	1849	0.29	1	0	"Other"	0	"other"	"fence"	0	"slab"	2547	3	2	1	35	71	222000	42601	"other"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	1	0	"pre"
"CNC136334"	"SGL"	"central"	0	1	0	0	0	0	22	0	0	"shingle"	1	"Natural"	0	0	1785	1.01	1	1	"Other"	1	"other"	"none"	1	"slab"	2285	3	2	0	37	260	211900	42817	"other"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136333"	"SGL"	"central"	0	0	0	0	0	0	11	0	0	"other"	0	"Natural"	0	0	1240	0.18	1	0	"Other"	0	"other"	"fence"	0	"slab"	1516	3	1	1	38	63	59900	42587	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136327"	"SGL"	"central"	0	1	0	0	0	0	17	0	0	"shingle"	1	"Natural"	0	1	2009	0.22	1	1	"Other"	1	"other"	"none"	1	"slab"	2621	3	2	1	38	75	245000	42599	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136326"	"SGL"	"central"	0	1	0	0	0	0	17	0	0	"other"	0	"Natural"	0	1	2657	1.43	1	1	"Other"	0	"other"	"none"	1	"slab"	3450	4	2	1	34	168	220500	42692	"other"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136325"	"SGL"	"central"	0	1	0	0	0	0	14	0	0	"other"	0	"Natural"	0	0	924	0.33	1	0	"Other"	0	"vinyl"	"none"	0	"raised"	1392	3	2	0	35	106	70000	42629	"other"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136324"	"SGL"	"central"	0	1	0	0	0	0	9	0	0	"other"	0	"Natural"	0	1	1310	0.56	0	0	"Other"	0	"other"	"fence"	0	"slab"	1310	3	1	1	32	60	20000	42583	"other"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136322"	"SGL"	"not_central"	0	0	0	0	0	0	2	0	0	"other"	0	"Natural"	0	0	1397	0.17	0	0	"Other"	0	"other"	"none"	0	"raised"	1540	3	1	0	31	56	8000	42579	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136095"	"SGL"	"central"	0	1	0	0	0	0	17	0	0	"other"	0	"Natural"	0	0	1955	0.27	1	1	"Other"	0	"brick"	"none"	1	"slab"	2735	3	2	0	34	163	246000	42661	"other"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC135994"	"SGL"	"central"	0	1	0	0	0	0	17	0	0	"shingle"	1	"Natural"	0	0	2096	0.56	1	1	"Other"	1	"other"	"none"	1	"slab"	3244	4	2	1	36	136	280000	42622	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CN163814"	"SGL"	"central"	0	0	0	0	0	0	26	0	0	"shingle"	1	"Natural"	0	0	2150	0.31	0	0	"Other"	0	"brick"	"none"	1	"other"	3163	4	2	1	38	1	415000	44544	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163804"	"SGL"	"not_central"	0	0	0	0	0	0	2	1	0	"other"	0	"Natural"	0	0	814	0.18	0	0	"Other"	0	"other"	"none"	0	"other"	920	2	1	0	30	3	20000	44545	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163801"	"SGL"	"central"	0	0	0	0	0	0	3	0	0	"other"	0	"Natural"	0	0	1100	0.34	1	0	"Other"	0	"brick"	"none"	0	"slab"	1250	3	1	1	31	3	39000	44539	"other"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163782"	"SGL"	"central"	0	0	0	0	0	0	31	0	0	"other"	0	"Natural"	0	0	1378	0.48	1	1	"Other"	0	"vinyl"	"none"	0	"other"	1700	3	1	0	36	4	86000	44537	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163779"	"SGL"	"central"	0	0	1	0	0	1	26	0	0	"shingle"	1	"Natural"	0	0	1485	0.15	1	0	"Other"	0	"other"	"porch"	1	"raised"	1713	3	1	1	37	9	180000	44536	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163770"	"SGL"	"central"	0	1	1	0	0	1	16	0	0	"metal"	0	"Natural"	0	1	2248	0.46	1	1	"Other"	0	"other"	"fence"	0	"other"	1648	3	2	0	36	3	295000	44522	"septic"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	1	1	"post"
